symbol,as_of
BHARTIARTL.NS,2026-08-28
HDFCBANK.NS,2026-08-28
HINDUNILVR.NS,2026-08-28
ICICIBANK.NS,2026-08-28
INFY.NS,2026-08-28
ITC.NS,2026-08-28
KOTAKBANK.NS,2026-08-28
RELIANCE.NS,2026-08-28
SBIN.NS,2026-08-28
TCS.NS,2026-08-28
