,non_null_pct
rev,96.0
mom_12_1,49.7
mom_6m,74.9
liq,96.2
deliv_pct,74.4
deliv_chg20,73.6
deliv_x_ret,71.2
earn_yield,100.0
roe,100.0
earn_growth,100.0
profit_margin,100.0
