date,close,volume,rsi_14,ema_200,macd,macd_signal,atr_14,adx_14,return_1d,return_5d,return_10d,volatility_10,volatility_20,ema20_ema50_ratio,ema50_ema200_ratio,macd_hist,dist_bb_upper,dist_bb_lower,target,vol_ma_20,obv,tr,bollinger_bandwidth,volatility_regime,bollinger_width_pct,atr_pct,gap_type,day_of_week,month
2022-07-29,17158.25,436100,72.77473592442374,16714.531814565955,238.81979604136177,149.0084230867372,197.6747349330357,19.5252612968369,0.0135059538264792,0.0262449304106207,0.069103119855868,0.0084301120714031,0.0078396112204465,1.0072706732857002,0.9754877393466086,89.81137295462457,-0.0060139297547734,0.0909516789902908,1,255560.0,1910800,243.201171875,0.0915845687192468,1,0.0915845687192468,0.0115206815924138,0,4,7
2022-08-01,17340.05078125,381500,75.2890982230229,16720.755883886195,280.8393652717423,175.37461152373822,198.86042131696428,21.502970828049964,0.0105955316684394,0.0426342842432805,0.0652118304051356,0.0081384816675938,0.0079631850988747,1.0101100446496332,0.9775525831238244,105.46475374800406,-0.0070690870499432,0.1011711727532172,0,259420.0,2292300,201.44921875,0.1020707870731869,1,0.1020707870731869,0.0114682721420859,0,0,8
2022-08-02,17345.44921875,333600,75.36186290548687,16726.971737964443,310.9908761756378,202.4978644541181,197.7497907366072,23.41578900561036,0.0003113276638058,0.0522693199581834,0.0614972828989042,0.0083335414677194,0.0078985146567735,1.0125445996569866,0.9795338492303276,108.49301172151972,-4.747299228125004e-05,0.0999342855516451,0,263390.0,2625900,174.30078125,0.1078744457381266,1,0.1078744457381266,0.0114006727783587,0,1,8
2022-08-03,17388.150390625,285400,75.96475148945312,16733.550630030717,334.47616052426747,228.893523668148,195.5355747767857,25.23276266730289,0.0024618083588656,0.0448478875084177,0.0524973473977898,0.0081999606053172,0.0077532174734851,1.014745682622321,0.9815005147336756,105.58263685611948,0.0046793394981443,0.1012851177462395,0,263240.0,2911300,181.650390625,0.114235125840754,1,0.114235125840754,0.0112453349197054,0,2,8
2022-08-04,17382.0,325000,75.6775123415709,16740.002862567722,348.5739884908653,252.8296166326915,209.09263392857144,27.11701986822248,-0.0003537116074355,0.0267224506818506,0.0467773746254949,0.008383628193059,0.0077341657730531,1.0165712138151837,0.9833664765801664,95.7443718581738,0.0113352278814249,0.1000813479247888,0,266260.0,2586300,329.44921875,0.1196188492166496,1,0.1196188492166496,0.0120292621061196,0,3,8
2022-08-05,17397.5,355300,75.92458178119695,16746.545122641677,356.8834093935766,273.6403751848685,201.0140904017857,28.86668726907639,0.0008917270739845,0.0139437296927134,0.0405546123187838,0.0084176551161652,0.0077491962824261,1.0181377857946263,0.985174024511966,83.24303420870808,0.0161287283117243,0.0998128794559262,1,269970.0,2941600,125.650390625,0.1241481979566018,1,0.1241481979566018,0.0115541940164843,0,4,8
2022-08-08,17525.099609375,257000,77.91359807030142,16754.291933454944,369.5054782630105,292.8133958004969,202.19984654017856,30.674490547753496,0.0073343646716481,0.0106717581430093,0.0537610251563345,0.0077903413476226,0.0077387460067849,1.0198487209532487,0.9871219560687122,76.69208246251361,0.0149060960089059,0.1050730173140745,0,270025.0,3198600,189.05078125,0.1289075724417504,1,0.1289075724417504,0.011537728803094,0,0,8
2022-08-10,17534.75,312700,78.06122213598378,16762.057685360865,375.95350664916987,309.4414179702315,193.33189174107144,32.396017804094974,0.0005506610997998,0.0109135704047014,0.0637533352662542,0.0063261879946223,0.0071000770392309,1.021282677617998,0.988995337599304,66.51208867893837,0.0189504624106015,0.1017483374337699,1,275230.0,3511300,123.298828125,0.1291823685668856,1,0.1291823685668856,0.0110256428943139,0,2,8
2022-08-11,17659.0,311200,79.92197763950702,16770.982484511504,386.6326912064287,324.87967261747093,196.2963169642857,34.35315793108925,0.0070859293688247,0.0155766774090608,0.0611231459936751,0.0062271374506346,0.0067038053330092,1.022851796364064,0.99099768779028,61.75301858895779,0.0158747774753473,0.1025787288953031,0,279125.0,3822500,184.55078125,0.1270380852509092,1,0.1270380852509092,0.0111159361778291,0,3,8
2022-08-12,17698.150390625,303900,80.48367113490303,16780.208035816115,393.7166112232953,338.6470603386358,194.853515625,35.874668451858334,0.0022170219505635,0.0181883782432976,0.0453968669657376,0.0048540250312035,0.0065480371949879,1.0242479428652322,0.992972497437658,55.06955088465946,0.016290350956977,0.0972850214584959,1,282890.0,4126400,126.80078125,0.1214440331530901,1,0.1214440331530901,0.0110098237004595,0,4,8
